communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Discussion,Policy Recommendations,United States,Voting,2010-04-10T17:00:00,facetoface,Yes,2454,Budgeting,Consultation (i.e. to advise decision makers),151,,Yes,de,Open to all,2014-04-06T20:58:16,Yes,Municipal Participatory Budgeting,Community leaders and representatives,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-20T14:39:51,preferential,Alderman Joe Moore,4377
or Deliberation,Policy Recommendations,France,Getting sense of room/group (i.e. no formal voting),2012-01-31T17:00:00,both,Yes,432,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),152,27,Yes,es,Open to all,2011-12-21T22:24:52,Yes,Transportation planning,,2011-10-03T09:00:00,General Public,General Public,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)",Government-Owned Corporation,National Government,2016-05-28T22:37:53,none,,
,,Italy,,,,No,433,Higher Education &amp; Lifelong Learning,,153,,No,it,,2011-12-22T00:42:15,Yes,,,,,,,,,,,2016-05-28T22:38:55,none,,
Express opinions/preferences only,Public Report,United States,Voting,,facetoface,Yes,434,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),154,,Yes,en,Election,2011-12-22T01:08:05,Yes,Participatory/Co-operative Governance,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-04-20T22:00:28,none,,
Dialogue,Policy Recommendations,United States,Opinion Survey,2011-06-26T17:00:00,facetoface,Yes,438,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,155,3,No,en,Random Selection,2011-12-22T19:09:43,Yes,Institutional Reform,,2011-06-24T09:00:00,Elected Public Official,General Public,Lay Public,412,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,Non-Governmental Organization (Non-profit),2016-04-20T15:34:42,none,California Common Cause,437
Dialogue,Policy Recommendations,United States,Opinion Survey,2006-03-30T17:00:00,facetoface,Yes,439,Community Development,Consultation (i.e. to advise decision makers),156,3,No,en,Open to all,2011-12-22T23:42:17,Yes,Urban Redevelopment,,2006-02-23T09:00:00,Elected Public Official,General Public,Lay Public,85,For Profit Business,For Profit Business,"Local Government (e.g. Village, Town, City)",2016-04-19T22:14:26,none,,272
Discussion,Public Report,United States,Voting,2011-01-24T17:00:00,facetoface,Yes,440,Budgeting,Direct delivery of public services (i.e. by entities other than government),157,,No,en,Open to all with targeted recruitment,2011-12-23T18:14:56,Yes,education reform,,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,Academic Institution,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-05-28T22:35:23,preferential,,200
or Deliberation,Policy Recommendations,United States,Voting,2008-06-14T17:00:00,facetoface,Yes,443,Arts &amp; Culture,Raise public awareness,158,4,No,en,Open to all with targeted recruitment,2011-12-24T01:56:20,Yes,Long-term Funding and Advocacy Planning,,2008-06-11T09:00:00,General Public,General Public,Lay Public,1500,Other,Non-Governmental Organization (Non-profit),,2016-04-18T20:57:24,preferential,,199
Story-Telling,"Traditional Media (i.e. television, radio, newspapers)",United States,Not Applicable,2011-12-13T17:00:00,facetoface,Yes,548,Other,"Develop individual capacities (e.g. skills, learning)",159,,No,en,Open to all with targeted recruitment,2012-03-02T18:54:43,Yes,Community Building,,2010-12-12T09:00:00,Other,Religious Group(s),Lay Public,1000,Community Based Organization,Community Based Organization,Individual,2016-03-15T01:00:54,none,Bay Area Jewish Organizations,
Dialogue,Public Hearings/Meetings,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,No,445,Environment,Raise public awareness,160,,Yes,en,Open to all,2011-12-25T05:17:05,Yes,urban development,,2007-01-04T09:00:00,General Public,General Public,Lay Public,,For Profit Business,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",2016-04-18T16:00:48,none,,561
or Deliberation,Public Hearings/Meetings,Chile,Voting,,facetoface,No,446,Budgeting,Co-governance (i.e. to share decision making with public authorities),161,,No,en,Open to all,2011-12-26T23:10:02,Yes,Municipal Participatory Budgeting,,,General Public,General Public,Lay Public,14632,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-05-28T22:34:52,none,,
Express opinions/preferences only,"New Media (i.e. internet, texting, etc)",Russia,Voting,,online,No,449,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),162,,No,en,Open to all with targeted recruitment,2011-12-27T00:26:04,Yes,Education Legislation,,,Elected Public Official,General Public,Lay Public,512,National Government,National Government,Non-Governmental Organization (Non-profit),2016-04-18T15:08:39,preferential,Wikivote,272
Dialogue,Public Hearings/Meetings,United States,Voting,2008-03-30T17:00:00,both,Yes,450,Science &amp; Technology,Raise public awareness,163,6,No,en,Open to all with targeted recruitment,2011-12-28T00:43:25,Yes,Technology Regulation,,2008-03-01T09:00:00,Elected Public Official,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",74,Academic Institution,Academic Institution,Academic Institution,2016-04-17T15:58:25,consensus,,585
Discussion,Public Report,United States,Opinion Survey,,facetoface,Yes,451,Health,Direct delivery of public services (i.e. by entities other than government),164,5,No,en,Open to all with targeted recruitment,2011-12-28T01:37:16,Yes,Health Policy,,,"Organized Groups (e.g. NGOs, Business Associations)",Youth,Lay Public,2700,For Profit Business,Non-Governmental Organization (Non-profit),For Profit Business,2016-04-17T15:40:10,none,,199
No interaction among participants,Other,South Africa,Not Applicable,,both,No,452,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,165,,No,en,Open to all,2011-12-28T17:21:12,Yes,Protest,,,General Public,General Public,Elected Public Official,,Individual,Individual,,2016-04-17T15:17:46,none,,
Express opinions/preferences only,Public Report,Mexico,Opinion Survey,,facetoface,No,454,"Planning (e.g. Urban planning, Transportation, etc.)",,166,,No,en,,2011-12-29T22:54:55,Yes,social development,,,General Public,General Public,,,Academic Institution,,"Local Government (e.g. Village, Town, City)",2016-05-28T22:31:52,none,,
or Deliberation,Public Hearings/Meetings,Mexico,Opinion Survey,,facetoface,No,456,Community Development,,167,,No,en,Open to all,2011-12-29T23:58:37,Yes,,,,General Public,General Public,Lay Public,,,,Non-Governmental Organization (Non-profit),2016-04-17T15:15:12,none,,
Dialogue,Policy Recommendations,Spain,Voting,1999-07-10T17:00:00,facetoface,No,460,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),168,2,No,en,Other,2011-12-31T03:10:53,Yes,Sustainable Development,,1999-07-09T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,50,International Organization,Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-04-16T15:57:39,majority,Municipality of Barcelona,
Dialogue,Public Hearings/Meetings,United States,Voting,2009-11-13T17:00:00,both,Yes,461,Health,Raise public awareness,169,1,No,en,Open to all with targeted recruitment,2011-12-31T17:00:22,Yes,National Policy Agenda for Adults with Autism,,2009-11-13T09:00:00,"Organized Groups (e.g. NGOs, Business Associations)",People with Disabilities,Lay Public,1200,,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-28T22:30:04,consensus,Autism Speaks,199
Discussion,Public Hearings/Meetings,Ireland,Opinion Survey,2007-01-27T17:00:00,facetoface,Yes,462,Education &amp; Schools,Consultation (i.e. to advise decision makers),170,1,No,en,Open to all with targeted recruitment,2012-01-01T03:24:45,Yes,Education Policy,,2007-01-27T09:00:00,General Public,General Public,Other,127,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",For Profit Business,2016-05-13T17:41:47,none,Ipsos-Mori,272
Formal Testimony,Public Hearings/Meetings,United States,Opinion Survey,2010-02-11T17:00:00,facetoface,No,463,Community Development,Consultation (i.e. to advise decision makers),171,,No,en,Open to all,2012-01-02T04:34:20,Yes,Long-term Community Development Plan,,2009-08-18T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-15T15:51:54,none,,575
Express opinions/preferences only,Public Hearings/Meetings,Japan,Getting sense of room/group (i.e. no formal voting),,facetoface,No,464,Community Development,Consultation (i.e. to advise decision makers),172,,No,en,Open to all with targeted recruitment,2012-01-02T20:23:35,Yes,Disaster Response,,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Individual,"Local Government (e.g. Village, Town, City)",2016-04-15T15:27:05,none,Joint Machizukuri Council,
Discussion,Public Report,United States,Getting sense of room/group (i.e. no formal voting),2003-09-14T17:00:00,facetoface,Yes,465,Budgeting,Consultation (i.e. to advise decision makers),173,2,No,en,Random Selection,2012-01-03T18:45:31,Yes,tax reform,,2003-09-13T09:00:00,Elected Public Official,General Public,Lay Public,100,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-04-14T16:18:12,none,,523
or Deliberation,"New Media (i.e. internet, texting, etc)",Argentina,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,466,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),174,,No,es,,2012-01-03T23:37:04,Yes,Long-term Community Development Plan,,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Other,2016-05-28T22:28:43,consensus,,
or Deliberation,Public Report,United States,Opinion Survey,2002-05-14T20:30:00,facetoface,Yes,467,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),175,21,No,en,Open to all,2012-01-06T21:50:43,Yes,Bicycle-friendly Infrastructure,,2001-11-01T19:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,307,"Regional Government (e.g. State, Provincial, Territorial)",For Profit Business,For Profit Business,2016-05-28T22:27:31,none,Inc.,567
Dialogue,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),2011-02-11T17:00:00,facetoface,Yes,468,Environment,Consultation (i.e. to advise decision makers),176,4,No,it,Open to all with targeted recruitment,2012-01-07T12:27:34,Yes,Sustainable Development,,2003-05-14T09:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-27T21:46:39,none,,272
Negotiate &amp; Bargain,Policy Recommendations,United States,Voting,,both,Yes,469,Budgeting,Community building (e.g. social capital),177,,Yes,en,Open to all with targeted recruitment,2012-01-08T22:51:50,Yes,Municipal Participatory Budgeting,Civil Society Organization&#039;s staffers dedicated to the project,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",Community Based Organization,Academic Institution,2016-05-28T22:16:50,preferential,District Wide Steering Committees,4377
Express opinions/preferences only,Public Hearings/Meetings,United States,Opinion Survey,2010-06-26T17:00:00,both,Yes,470,Budgeting,Consultation (i.e. to advise decision makers),178,1,No,en,Open to all,2012-01-09T16:36:22,Yes,national debt,,2010-06-26T09:00:00,Elected Public Official,General Public,Lay Public,3500,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),,2016-05-28T15:34:49,none,,199
Discussion,Policy Recommendations,United States,Voting,2012-01-21T17:00:00,facetoface,Yes,471,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),179,5,No,en,Open to all,2012-01-09T21:24:20,Yes,Traffic Congestion,,2011-10-15T09:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-04-10T22:54:55,none,,199
Discussion,Policy Recommendations,Peru,Voting,,facetoface,Yes,473,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Collaborative delivery of services with public authorities,180,,Yes,en,Open to all,2012-01-10T07:31:03,Yes,Participatory Budgeting,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Individual,Community Based Organization,National Government,2016-03-31T01:50:10,majority,United Nations Urban Management Program for Latin America and the Caribbean,
Express opinions/preferences only,Public Report,New Zealand,Getting sense of room/group (i.e. no formal voting),,both,Yes,475,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,181,,Yes,en,Other,2012-01-10T11:12:03,Yes,Comprehensive Long-term City Plan,,2011-03-23T09:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-03-28T21:19:23,none,,476
